1:January,2020:AirPods Pro:wireless:249.99:white
2:February,2020:Amazon Blink Camera:wifi:34.99:black
3:March,2020:Google Nest Thermostat:thermostat:249:silver
4:April,2020:Samsung TV:HDR:499:titan grey
5:May,2020:a:N:50:blue
6:June,2020:b:N:50:red
7:July,2020:c:N:50:pink
8:August,2020:d:N:50:green
9:September,2020:e:N:50:yellow
10:October,2020:f:N:50:orange
11:November,2020:g:N:50:dark gray
12:December,2020:h:N:50:dark blue
13:January,2021:i:N:50:dark pink
14:February,2021:j:N:50:plum
15:March,2021:k:N:50:rosy
16:April,2021:l:N:50:brown
17:May,2021:m:N:50:light pink
18:June,2021:n:N:50:light blue
19:July,2021:o:N:50:light green
20:August,2021:p:N:50:light orange
21:September,2021:q:N:50:purple
22:October,2021:r:N:50:light purple
23:November,2021:s:N:50:dark purple
24:December,2021:t:N:50:silver gray
25:January,2022:i:N:50:dark pink
26:February,2022:j:N:50:plum
27:March,2022:k:N:50:rosy
28:April,2022:l:N:50:brown
29:May,2022:m:N:50:light pink
30:June,2022:n:N:50:light blue
31:July,2022:c:N:50:pink
32:August,2022:d:N:50:green
33:September,2022:e:N:50:yellow
34:October,2022:f:N:50:orange
35:November,2022:g:N:50:dark gray
36:December,2022:h:N:50:dark blue
